,0,1
0,2,"[""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it.""]"
1,11,"['its not just the  whos interested in pruitt  the  commit', 'the only way to stop these people  for now is at the ballot box  are you out there registering voters are you', ""Wearing masks does not help in stopping the virus, it's useless and I hate it. Wearing masks does not help in stopping the virus, it's useless and I hate it. Wearing masks does not help in stopping the virus, it's useless and I hate it. Wearing masks does not help in stopping the virus, it's useless and I hate it. Wearing masks does not help in stopping the virus, it's useless and I hate it. Wearing masks does not help in stopping the virus, it's useless and I hate it."", 'This is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", 'The US was banned from the EU for a period of two years. I doubt the US would give them a chance to go back to the US if they did not reciprocate over the customs partnership.', 'What is the difference between the HSRC and Obamacare?', 'I hate the NSA. I hate this virus.', ""I like the notion that your job is to support your family by supporting your wife and child. Your job is to help your children stay at home, and your child's health should be very important to you. The fact that you want to pay for it doesn't make it any more of a problem than the fact that you think a job is important."", '> I hate the NSA. I hate this virus.', ""The first point is that it is incredibly hard for him to do it without a lawyer. That isn't an easy thing to do."", 'I am very sorry. Why do you say that?', ""It's not just the government but the people. They are not just saying that they have some kind of control over the US customs."", ""I'm going to ask my dad if he wants a part time job or not. I think that's an interesting question. I can't revert back to the way I started a job at the time but I think if he wanted an open position he would be more of a slut.""]"
2,17,"[""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", ""Wearing masks does not help in stopping the virus, it's useless and I hate it.""]"
3,20,"['news flash trump is not going to unblock you jared has security clearance gorsuch is approving laws based o', 'What is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', ""Do you like to wear masks, or do you wear a mask, or do you wear a mask, or do you prefer to wear a mask, and that's the last thing you need to do?"", 'So I\'m going to have to say, ""You know, if I want to build a customs partnership for you, then I have to be ready to do it.""', ""You are being facetious. You're an idiot. But you're just being a whiny, elitist, and self-deprecating asshole. It doesn't matter what you do to make me feel better about you. You have no idea how the world works, but if you're going to go and do something that isn't wrong, you have no idea what it is, and you need a break from it."", 'The government has to say what the government has to say? The government has to say what it has to say? What is the difference between the HSRC and the Obamacare plan?', ""It's probably worth a try. But the government doesn't seem to be getting out of the way.""]"
4,6,"['the only way to stop these people  for now is at the ballot box  are you out there registering voters are you', 'This is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', 'The US was banned from the EU for a period of two years. I doubt the US would give them a chance to go back to the US if they did not reciprocate over the customs partnership.', 'I hate the NSA. I hate this virus.', '> I hate the NSA. I hate this virus.', 'I am very sorry. Why do you say that?', ""I'm going to ask my dad if he wants a part time job or not. I think that's an interesting question. I can't revert back to the way I started a job at the time but I think if he wanted an open position he would be more of a slut.""]"
5,8,"['the only way to stop these people  for now is at the ballot box  are you out there registering voters are you', 'This is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', 'The US was banned from the EU for a period of two years. I doubt the US would give them a chance to go back to the US if they did not reciprocate over the customs partnership.', 'I hate the NSA. I hate this virus.', '> I hate the NSA. I hate this virus.', 'I am very sorry. Why do you say that?', ""I'm going to ask my dad if he wants a part time job or not. I think that's an interesting question. I can't revert back to the way I started a job at the time but I think if he wanted an open position he would be more of a slut.""]"
6,12,"['the only way to stop these people  for now is at the ballot box  are you out there registering voters are you', 'This is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', 'The US was banned from the EU for a period of two years. I doubt the US would give them a chance to go back to the US if they did not reciprocate over the customs partnership.', 'I hate the NSA. I hate this virus.', '> I hate the NSA. I hate this virus.', 'I am very sorry. Why do you say that?', ""I'm going to ask my dad if he wants a part time job or not. I think that's an interesting question. I can't revert back to the way I started a job at the time but I think if he wanted an open position he would be more of a slut.""]"
7,15,"['the only way to stop these people  for now is at the ballot box  are you out there registering voters are you', 'This is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', 'The US was banned from the EU for a period of two years. I doubt the US would give them a chance to go back to the US if they did not reciprocate over the customs partnership.', 'I hate the NSA. I hate this virus.', '> I hate the NSA. I hate this virus.', 'I am very sorry. Why do you say that?', ""I'm going to ask my dad if he wants a part time job or not. I think that's an interesting question. I can't revert back to the way I started a job at the time but I think if he wanted an open position he would be more of a slut.""]"
8,29,"['the only way to stop these people  for now is at the ballot box  are you out there registering voters are you', 'This is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc', 'The US was banned from the EU for a period of two years. I doubt the US would give them a chance to go back to the US if they did not reciprocate over the customs partnership.', 'I hate the NSA. I hate this virus.', '> I hate the NSA. I hate this virus.', 'I am very sorry. Why do you say that?', ""I'm going to ask my dad if he wants a part time job or not. I think that's an interesting question. I can't revert back to the way I started a job at the time but I think if he wanted an open position he would be more of a slut.""]"
9,30,"['now we fly over to ny where there is a similar site punch both feins using dashes after first  numbers here', ""Wearing masks does not help in stopping the virus, it's useless and I hate it."", '...I like to think that we are trying to stop the virus, but that we are being under so much pressure to help.', ""Isn't it safe to wear a mask while I'm walking around a hotel?"", ""I'm surprised the US government is allowing people to leave the country for other reasons than to do what the NSA says."", ""I don't care. I love people like you. I've made sure that no one will be mad or embarrassed about what you've said."", 'Yes. I hate this. But it’s not a virus. It’s a disease. That’s why it’s a virus.']"
