agent,agent_preference,num_connections,agent_connections,influence_status
1,how does the mask make his breath come out of the back of his head,20,"[52, 81, 99, 74, 9, 64, 29, 77, 12, 38, 60, 23, 18, 22, 3, 76, 87, 92, 89, 70]",False
2,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,28,"[55, 48, 84, 66, 11, 44, 36, 16, 1, 38, 62, 83, 7, 31, 77, 30, 78, 32, 4, 28, 51, 37, 22, 90, 67, 18, 56, 39]",False
3,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,26,"[46, 16, 23, 91, 35, 47, 27, 7, 95, 96, 38, 97, 31, 56, 20, 59, 10, 66, 61, 30, 51, 17, 73, 6, 9, 53]",False
4,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,12,"[30, 32, 79, 77, 9, 91, 37, 40, 71, 67, 42, 98]",False
5,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,4,"[11, 38, 68, 19]",False
6,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,4,"[23, 47, 21, 98]",False
7,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,15,"[16, 81, 21, 9, 59, 41, 67, 47, 52, 72, 30, 4, 45, 54, 62]",False
8,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,18,"[32, 74, 99, 12, 100, 86, 9, 57, 38, 83, 90, 21, 98, 22, 85, 92, 52, 80]",False
9,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,25,"[56, 37, 24, 6, 4, 70, 40, 53, 7, 55, 52, 43, 95, 48, 74, 30, 26, 47, 35, 61, 11, 39, 88, 98, 18]",False
10,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,5,"[8, 31, 97, 42, 19]",False
11,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,4,"[12, 99, 28, 60]",False
12,yes the newest strain is soooooo contagious just bc they have a mask on their hands pics don t mean they re using it,13,"[60, 77, 87, 61, 63, 93, 9, 7, 84, 20, 22, 45, 17]",False
13,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,25,"[12, 57, 36, 83, 14, 68, 73, 66, 30, 17, 79, 25, 93, 1, 15, 75, 59, 27, 48, 91, 28, 97, 95, 82, 19]",False
14,how does the mask make his breath come out of the back of his head,23,"[60, 98, 6, 52, 81, 34, 94, 72, 3, 57, 97, 100, 55, 9, 78, 25, 4, 21, 51, 49, 62, 74, 96]",False
15,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,4,"[32, 81, 58, 50]",False
16,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,22,"[97, 63, 24, 53, 69, 43, 1, 9, 40, 42, 58, 48, 36, 39, 55, 12, 10, 7, 74, 33, 2, 5]",False
17,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,27,"[52, 64, 99, 19, 96, 7, 74, 6, 41, 28, 23, 61, 53, 93, 59, 94, 86, 2, 91, 83, 14, 12, 15, 72, 79, 89, 47]",False
18,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,20,"[10, 66, 6, 69, 82, 14, 22, 74, 27, 16, 96, 20, 38, 50, 75, 85, 73, 62, 53, 89]",False
19,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,17,"[58, 13, 82, 28, 33, 71, 85, 59, 76, 45, 7, 93, 42, 14, 43, 81, 20]",False
20,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,4,"[46, 25, 23, 29]",False
21,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,14,"[9, 16, 70, 2, 8, 75, 27, 40, 72, 59, 55, 74, 30, 50]",False
22,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,27,"[90, 46, 78, 93, 58, 33, 35, 9, 60, 17, 57, 65, 67, 68, 2, 85, 55, 83, 45, 61, 24, 96, 12, 92, 80, 59, 44]",False
23,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,26,"[39, 80, 8, 18, 9, 22, 36, 56, 4, 27, 92, 19, 87, 43, 81, 86, 7, 98, 34, 6, 41, 64, 38, 30, 44, 65]",False
24,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,16,"[94, 99, 41, 85, 13, 48, 63, 51, 44, 23, 72, 68, 83, 45, 21, 92]",False
25,yes the newest strain is soooooo contagious just bc they have a mask on their hands pics don t mean they re using it,28,"[82, 24, 9, 37, 53, 52, 68, 49, 94, 81, 17, 71, 30, 42, 27, 89, 1, 50, 83, 60, 78, 14, 73, 47, 54, 67, 33, 40]",False
26,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,2,"[40, 93]",False
27,how does the mask make his breath come out of the back of his head,29,"[12, 30, 97, 14, 79, 50, 25, 40, 84, 11, 72, 49, 90, 70, 61, 69, 63, 52, 55, 75, 54, 8, 64, 36, 28, 74, 16, 26, 21]",False
28,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,3,"[81, 90, 87]",False
29,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,6,"[90, 98, 1, 72, 86, 75]",False
30,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,4,"[98, 76, 88, 43]",False
31,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,17,"[25, 57, 18, 87, 72, 82, 5, 60, 71, 93, 70, 34, 55, 54, 50, 79, 83]",False
32,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,14,"[73, 62, 47, 48, 59, 8, 64, 65, 50, 58, 35, 51, 21, 14]",False
33,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,9,"[76, 11, 60, 23, 55, 81, 28, 21, 89]",False
34,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,10,"[53, 18, 26, 20, 33, 17, 27, 36, 72, 29]",False
35,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,30,"[32, 6, 43, 83, 5, 59, 94, 34, 66, 93, 49, 30, 16, 3, 67, 12, 45, 90, 81, 75, 24, 7, 55, 57, 72, 18, 84, 54, 91, 63]",False
36,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,12,"[84, 23, 13, 5, 39, 49, 72, 1, 42, 66, 67, 86]",False
37,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,1,[50],False
38,yes the newest strain is soooooo contagious just bc they have a mask on their hands pics don t mean they re using it,26,"[82, 10, 55, 68, 73, 19, 59, 16, 24, 54, 70, 35, 84, 46, 79, 20, 47, 77, 5, 63, 39, 71, 69, 53, 88, 14]",False
39,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,3,"[77, 95, 67]",False
40,how does the mask make his breath come out of the back of his head,24,"[84, 48, 31, 36, 41, 73, 38, 61, 7, 88, 85, 89, 6, 67, 23, 75, 68, 95, 16, 83, 64, 32, 99, 98]",False
41,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,25,"[11, 17, 8, 76, 39, 3, 4, 29, 43, 47, 92, 23, 15, 75, 96, 40, 100, 16, 87, 18, 82, 55, 6, 71, 33]",False
42,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,8,"[29, 41, 44, 56, 85, 86, 27, 73]",False
43,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,1,[87],False
44,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,1,[27],False
45,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,23,"[93, 21, 11, 73, 58, 57, 44, 43, 80, 40, 1, 61, 10, 55, 48, 76, 79, 22, 88, 87, 34, 83, 77]",False
46,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,13,"[84, 94, 53, 61, 69, 9, 27, 91, 20, 86, 59, 42, 12]",False
