agent,agent_preference,num_connections,agent_connections,influence_status
1,even with a mask on coaching baseball practice this morning on a beautiful almost fall day was incredibly refreshing,14,"[2, 65, 56, 43, 11, 19, 27, 24, 35, 16, 48, 50, 80, 90]",False
2,if you vote biden you will be singing with a mask on because he will make masks mandatory for life a muffled sebastian bach i wouldn t pay to see you now and certainly not pay to see you with a mask on trump,1,[47],False
3,if you flagrantly disregard public health guidance and refuse to wear a mask you shouldn t be allowed treatment at all let alone top tier treatment the rest of america can t access,23,"[81, 88, 39, 32, 77, 68, 52, 71, 74, 23, 11, 18, 59, 62, 13, 83, 26, 98, 21, 66, 54, 93, 57]",False
4,why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic,21,"[54, 2, 57, 91, 84, 62, 98, 30, 96, 60, 75, 31, 92, 41, 13, 50, 56, 69, 94, 58, 11]",False
5,this guy is garbage and utah needs to get rid of him gitmo would be a good place for him gop sen mitt romney votes with democrats to keep masks mandate for toddlers,15,"[23, 8, 64, 10, 80, 17, 83, 96, 32, 41, 70, 72, 77, 53, 48]",False
6,before i got covid i always wore my mask would have it on in the house and car by accident bc i would forget about it after getting sick tho it s been harder to breathe with it on and my face just gets so hot and uncomfortable,10,"[36, 19, 38, 41, 100, 55, 18, 37, 91, 74]",False
7,the mask should be over ur nose,11,"[45, 34, 5, 72, 87, 57, 9, 25, 22, 79, 78]",False
8,how does the mask make his breath come out of the back of his head,9,"[26, 13, 14, 23, 11, 72, 27, 39, 48]",False
9,can you clarify the mask rules and requirements for hoboken parks and playgrounds,15,"[56, 42, 98, 94, 34, 28, 68, 74, 63, 22, 41, 93, 21, 75, 64]",False
10,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,2,"[83, 17]",False
11,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,27,"[28, 70, 27, 59, 54, 43, 38, 24, 12, 75, 55, 3, 35, 93, 96, 29, 73, 45, 90, 23, 85, 77, 52, 42, 89, 80, 69]",False
12,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[7, 9, 84, 82, 64, 40, 45, 60, 18, 19, 52, 79, 1, 29, 49, 81, 36, 50, 55, 78, 97, 54, 87, 26, 4, 93, 88, 41, 61, 53]",True
13,don t go to a party with a house full of ppl not wasting mask during a pandemic,21,"[94, 6, 93, 56, 29, 39, 63, 52, 43, 10, 38, 77, 49, 96, 27, 69, 18, 88, 66, 31, 34]",False
14,get the body i want or break out on my face from having to wear a mask at the gym,19,"[21, 71, 100, 57, 73, 48, 30, 22, 77, 85, 38, 93, 36, 95, 51, 26, 55, 17, 72]",False
15,continuing to mask up amp distance reduces the transmission of the virus amp if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,21,"[83, 44, 27, 43, 38, 41, 97, 67, 20, 46, 76, 23, 24, 75, 33, 77, 88, 98, 65, 30, 90]",False
16,hispanics people are not follow the rules by wearing a face mask and social distance during sprinkler water hydran on the street,19,"[73, 40, 81, 54, 77, 90, 87, 100, 88, 80, 68, 92, 18, 14, 91, 64, 98, 45, 10]",False
17,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,13,"[66, 46, 98, 74, 47, 77, 75, 54, 28, 94, 52, 97, 55]",False
18,truth is there s a lot of differing opinions and plenty of studies that say they do help the real problem is that most of the people who are anti mask are just doing it to be jackasses instead of trying to be considerate,25,"[28, 61, 76, 15, 44, 27, 95, 65, 63, 94, 83, 70, 55, 29, 90, 6, 7, 22, 57, 99, 17, 64, 96, 24, 56]",False
19,hi everyone plz just wear a mask i don t wanna be unemployed again,18,"[53, 99, 4, 14, 69, 27, 39, 93, 58, 88, 96, 92, 23, 26, 32, 37, 10, 73]",False
20,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,11,"[11, 35, 50, 47, 84, 90, 94, 38, 48, 2, 87]",False
21,according to my student yesterday the china virus is a hoax and mask mandates are a way for the government to control all them lib tards sometimes all this is too much,5,"[66, 5, 56, 43, 84]",False
22,some of these people s face masks be looking like they stink so bad using the same mask for the past days,24,"[96, 48, 16, 100, 78, 4, 25, 69, 42, 81, 73, 94, 33, 39, 95, 32, 54, 93, 97, 27, 84, 36, 20, 34]",False
23,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[62, 70, 98, 59, 58, 80, 14, 11, 90, 1, 75, 9, 16, 55, 85, 67, 49, 93, 4, 44, 52, 57, 51, 8, 30, 86, 77, 68, 28, 18]",True
24,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,15,"[15, 42, 25, 8, 82, 41, 67, 38, 1, 84, 35, 37, 64, 9, 62]",False
25,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,4,"[88, 76, 86, 71]",False
26,passes are solddd outtt but you can still pay at the door mask required,7,"[29, 66, 27, 77, 37, 55, 71]",False
27,thanks ctl stay safe friends and wear mask if need to go out,22,"[53, 48, 4, 21, 88, 31, 83, 24, 25, 96, 76, 26, 38, 86, 97, 5, 33, 64, 15, 55, 40, 17]",False
28,wait a damn min we gotta wear mask while working out at the gym,7,"[95, 62, 93, 37, 74, 54, 78]",False
29,if hes going to be stupid enough not to wear a mask then he deserves what he gets hopefully he doesn t infect anyone else,19,"[24, 48, 42, 84, 4, 52, 33, 14, 80, 65, 3, 98, 63, 16, 85, 89, 32, 56, 44]",False
30,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine,5,"[19, 60, 15, 99, 10]",False
31,mask protect other people he only cares about himself,1,[73],False
32,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,26,"[33, 73, 19, 27, 91, 10, 6, 72, 98, 24, 100, 12, 30, 78, 21, 15, 64, 74, 48, 18, 37, 34, 54, 81, 77, 39]",False
33,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,19,"[32, 74, 89, 23, 28, 73, 54, 25, 38, 10, 50, 4, 12, 30, 66, 94, 71, 86, 99]",False
34,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[93, 4, 98, 43, 13, 15, 51, 94, 69, 48, 16, 53, 64, 24, 62, 42, 71, 55, 91, 89, 47, 84, 20, 39, 83, 3, 18, 44, 23, 68]",True
35,i did this with one lone mask less man in a ballot recount center,10,"[98, 67, 90, 13, 61, 30, 69, 60, 59, 82]",False
36,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[17, 25, 98, 2, 54, 35, 72, 62, 5, 14, 37, 33, 6, 40, 19, 3, 69, 31, 66, 13, 27, 48, 78, 23, 70, 87, 16, 49, 61, 75]",True
37,the fact that wearing a mask is headline news vs just an assumption is a sad reality imagine seriously think about how you would react to reading the following in january of gov andrew cuomo wears pants as he arrives at the white house,9,"[70, 55, 42, 54, 17, 33, 18, 76, 62]",False
38,how i feel after taking off my n mask after every hour shift,9,"[84, 15, 7, 6, 60, 94, 82, 33, 36]",False
39,a special shout out goes to mr londono amp ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,26,"[98, 13, 68, 89, 2, 85, 76, 73, 93, 3, 15, 21, 37, 52, 44, 84, 69, 49, 83, 18, 26, 74, 51, 46, 61, 47]",False
40,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,20,"[3, 55, 38, 16, 50, 85, 13, 73, 27, 91, 97, 39, 67, 59, 11, 63, 95, 79, 32, 45]",False
41,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,10,"[59, 17, 85, 93, 89, 68, 35, 42, 32, 73]",False
42,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,28,"[70, 48, 50, 53, 63, 5, 97, 45, 4, 77, 66, 22, 100, 60, 2, 76, 74, 9, 73, 17, 29, 98, 91, 86, 81, 12, 87, 64]",False
43,your mask go over your nose,17,"[29, 39, 25, 72, 37, 45, 50, 57, 1, 91, 24, 17, 64, 58, 98, 2, 63]",False
44,i am not wearing a mask for more months just saying,5,"[3, 64, 48, 53, 39]",False
45,cruel and mask mandate don t even belong in the same sentence give me a break,1,[96],False
46,this man just lowered his mask to cough,16,"[86, 62, 96, 16, 45, 39, 12, 98, 24, 79, 15, 25, 8, 19, 66, 90]",False
47,please leep your mask on i don t want you to be taken out by a virus that is not gone,1,[12],False
48,thank you for requiring mask wearing in the house hall it is unfortunate a selfish delusional minority of house members must be forced to consider the welfare of others,19,"[77, 64, 80, 10, 46, 90, 73, 52, 72, 30, 83, 36, 96, 1, 20, 86, 71, 58, 100]",False
49,masks are nothing but a placebo unless you have a surgical grade mask there really is no point even the sainted dr faucci admitted it at the beginning of all this i am pro vaccine my family are all cleared but the new idea that all the children need to be shot now is idiocy,27,"[96, 8, 40, 13, 65, 39, 98, 6, 29, 62, 69, 28, 51, 77, 27, 4, 75, 47, 46, 41, 94, 74, 93, 57, 20, 81, 84]",False
50,you need to listen to what is being said stop making this a part of your re election agenda the only science you are following is political science by the way where is your mask and why don t you have it on,14,"[22, 69, 29, 2, 9, 38, 96, 53, 86, 55, 4, 56, 64, 59]",False
51,mask mandate finna be back real soon,11,"[62, 63, 37, 42, 99, 48, 75, 97, 73, 83, 85]",False
52,degrees in hermosa beach too hot to wear a mask sorry hermosa beach pier,1,[42],False
53,as mask ordinances okc is extended covid surges and okc has no icu beds available,15,"[23, 25, 83, 65, 56, 4, 49, 94, 38, 50, 26, 78, 76, 10, 95]",False
54,i don t often have time to shave my face stubble in the morning luckily coronavirus is very accepting of mask culture so actually it s required,27,"[80, 73, 93, 96, 75, 4, 85, 46, 9, 49, 3, 15, 55, 79, 19, 44, 98, 81, 11, 100, 84, 20, 57, 60, 37, 2, 5]",False
55,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,8,"[15, 38, 71, 68, 91, 44, 99, 50]",False
56,absolutely unreal i can t believe the joker just sneezed on without a mask and under ft away ridiculous coronavirus covid day oflockdown,14,"[91, 69, 96, 43, 33, 52, 51, 68, 73, 86, 14, 44, 90, 35]",False
57,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[78, 63, 28, 6, 33, 81, 85, 76, 87, 53, 2, 17, 16, 72, 13, 61, 24, 55, 52, 79, 45, 46, 96, 32, 27, 88, 62, 90, 31, 29]",True
58,oh absolutely not public is being asked to make their own masks or use a scarf my concern then and now was every medical mask worn in public is one that is not available for a health worker who needs it desperately,12,"[53, 87, 76, 5, 46, 71, 69, 97, 4, 68, 19, 24]",False
59,woman come on guys says you gotta wear a mask to go in there woman if you re not vaccinated woman exactly woman s daughter my momma says she s naturally vaccinated,8,"[61, 35, 46, 91, 54, 45, 77, 85]",False
60,open for public play saturdays and sundays pm pm practicing social distancing remember to wear your face mask playpaintball publicplay socialdistancing familytime paintball openforbusiness nvp sports park,10,"[87, 42, 61, 38, 92, 14, 83, 71, 11, 18]",False
61,finally the topper on this covid cake when the mask mandate isn t lifted and accessible vaccines are still a few weeks out for most of us,23,"[64, 56, 100, 88, 26, 24, 35, 57, 43, 77, 21, 22, 59, 68, 90, 63, 36, 30, 79, 41, 7, 87, 4]",False
62,prioritize your comfort over the life of another human being masks are a little uncomfortable sure but do i want to risk spreading the virus to people who cannot afford to get the virus not at all wear a mask,22,"[100, 52, 82, 10, 79, 71, 33, 19, 42, 24, 27, 21, 87, 68, 43, 40, 5, 6, 13, 66, 34, 14]",False
63,why do people keep asking this yes i ve had multiple exposures in tight places no mask long time periods like an hour i never get it,25,"[92, 90, 35, 70, 2, 55, 7, 74, 44, 84, 41, 60, 25, 9, 36, 97, 83, 52, 8, 33, 95, 62, 54, 47, 61]",False
64,i m starting to wear my mask at work again because i can t afford to get sick,19,"[77, 14, 2, 70, 50, 19, 48, 66, 17, 11, 54, 42, 41, 99, 24, 35, 65, 71, 51]",False
65,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere,9,"[35, 95, 42, 20, 23, 27, 96, 81, 5]",False
66,the hobo begging for change on the tallmadge ave exit is wearing a mask what s your excuse,15,"[49, 58, 42, 5, 8, 9, 98, 38, 52, 6, 43, 54, 68, 7, 80]",False
67,breaking indianapolis city county council has voted to ratify new public health orders which include removing the mask mandate for fully vaccinated individuals the health orders now go to the mayor to be signed,28,"[68, 38, 43, 32, 48, 37, 57, 90, 64, 50, 27, 88, 99, 92, 100, 47, 91, 53, 10, 78, 16, 98, 7, 72, 12, 39, 84, 51]",False
68,excellent example of the importance and reliance of everyone in the community to do their part the people that put themselves at risk everyday so you can have food safely produced and delivered to you to eat it s not hard to wear a mask on a run,1,[20],False
