agent,agent_preference,num_connections,agent_connections,influence_status
1,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",12,"[53, 29, 95, 73, 91, 8, 100, 4, 80, 89, 45, 18]",False
2,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",19,"[23, 72, 7, 22, 76, 71, 79, 65, 46, 66, 87, 78, 44, 100, 25, 88, 40, 11, 77]",False
3,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,29,"[81, 30, 7, 80, 73, 90, 94, 64, 45, 35, 28, 72, 70, 54, 56, 25, 33, 51, 17, 91, 4, 66, 34, 47, 21, 42, 63, 8, 75]",False
4,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,6,"[49, 1, 35, 8, 23, 53]",False
5,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,13,"[7, 36, 14, 73, 100, 28, 91, 35, 42, 27, 77, 15, 92]",False
6,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,22,"[48, 9, 22, 80, 65, 38, 98, 10, 30, 21, 42, 27, 61, 90, 50, 46, 62, 82, 26, 43, 97, 87]",False
7,I lose a mask at least four times a day. This whole thing is a scam.,21,"[67, 93, 71, 11, 74, 22, 65, 80, 76, 63, 83, 82, 98, 69, 47, 53, 30, 6, 9, 20, 35]",False
8,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",11,"[4, 99, 47, 78, 70, 57, 55, 45, 30, 27, 50]",False
9,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",30,"[62, 88, 48, 69, 99, 52, 14, 56, 60, 47, 85, 34, 15, 27, 7, 95, 55, 66, 73, 72, 57, 28, 22, 68, 76, 33, 41, 74, 8, 13]",False
10,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,18,"[75, 80, 55, 76, 21, 25, 94, 8, 71, 26, 57, 64, 67, 50, 41, 4, 18, 20]",False
11,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,10,"[44, 89, 60, 54, 84, 72, 90, 76, 46, 100]",False
12,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,2,"[39, 10]",False
13,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,12,"[2, 3, 62, 53, 67, 8, 95, 49, 38, 97, 87, 73]",False
14,I lose a mask at least four times a day. This whole thing is a scam.,6,"[52, 93, 3, 39, 66, 45]",False
15,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",26,"[81, 43, 5, 47, 53, 94, 10, 32, 100, 63, 78, 35, 85, 89, 99, 88, 50, 24, 64, 6, 96, 38, 36, 12, 51, 80]",False
16,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",22,"[100, 5, 59, 6, 86, 20, 77, 94, 11, 14, 93, 32, 42, 37, 36, 45, 48, 40, 74, 65, 75, 41]",False
