,agent,agent_preference,num_connections,agent_connections
1,1,extraordinary evidence at treasury committee from jon thompson ceo of hmrc on customs and brexit today,7,"[11, 58, 95, 69, 73, 72, 4]"
2,2,the brexiter favourite max fac  would cost business between  and bn a year thats almost  of gdp jus,2,"[39, 77]"
3,3,how does he arrive at the figurem export consignments at an average cost of  each  bn times two be,3,"[46, 51, 93]"
4,4,theresa mays new customs partnership is much cheaper for business almost zero cost  because it seeks to replicat,5,"[3, 45, 93, 2, 31]"
5,5,mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll,18,"[18, 31, 28, 83, 2, 61, 96, 76, 23, 37, 90, 20, 80, 89, 46, 99, 59, 60]"
6,6,both would not be ready by  max fac needs  years customs partnership requires  mr thompson saidthe bord,26,"[46, 11, 21, 19, 75, 47, 37, 26, 30, 87, 76, 44, 60, 83, 69, 61, 71, 82, 56, 53, 58, 99, 3, 42, 14, 28]"
7,7,is under so many federal investigations and reviews its getting hard to keep track right now h,16,"[79, 72, 41, 34, 46, 44, 60, 90, 75, 71, 23, 32, 48, 69, 61, 83]"
8,8,is under so many federal investigations and reviews its getting hard to keep track right now h,24,"[26, 12, 5, 37, 36, 72, 11, 28, 60, 43, 9, 78, 7, 84, 62, 48, 54, 64, 16, 27, 33, 35, 23, 61]"
9,9,investigations  through  all of these are under the  looking into actions like,10,"[42, 41, 83, 12, 17, 47, 37, 31, 32, 78]"
10,10,is also reviewing whether s pal samantha dravis was col,14,"[76, 7, 63, 43, 66, 20, 97, 11, 93, 30, 99, 80, 98, 8]"
11,11,its not just the  whos interested in pruitt  the  commit,16,"[4, 80, 90, 14, 8, 73, 22, 96, 70, 46, 3, 6, 97, 32, 47, 83]"
12,12,investigations  amp   is in trouble with the,15,"[42, 33, 70, 9, 98, 88, 93, 48, 53, 52, 51, 4, 68, 29, 25]"
13,13,not to be outdone investigations  and,19,"[30, 49, 54, 56, 4, 27, 46, 61, 35, 9, 53, 31, 45, 10, 80, 55, 36, 3, 21]"
14,14,this is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc,9,"[8, 2, 90, 89, 100, 81, 46, 68, 55]"
15,15,this is wrong the judge canwill make a condition ofclause in any probation suspended sentence deferred sentenc,19,"[41, 46, 45, 90, 17, 14, 23, 40, 13, 1, 6, 19, 37, 3, 69, 76, 87, 28, 36]"
16,16,papadopoulos failing to live by his agreements with the fedsthe court could lead to charges being brought forwa,1,[67]
17,17,the idea mueller would dump papadopoulos as a witness just because his sentencingwhich will have conditions att,9,"[37, 75, 28, 18, 29, 46, 59, 34, 51]"
18,18,i should also add as i accidentally left it out of tweet  that should papadopoulos have a suspended or defer,8,"[35, 53, 20, 15, 39, 31, 46, 32]"
19,19,news flash trump is not going to unblock you jared has security clearance gorsuch is approving laws based o,14,"[94, 90, 42, 41, 69, 8, 20, 27, 86, 66, 36, 92, 81, 88]"
20,20,news flash trump is not going to unblock you jared has security clearance gorsuch is approving laws based o,26,"[36, 68, 21, 28, 79, 17, 8, 99, 12, 22, 75, 64, 32, 74, 70, 82, 100, 90, 38, 45, 35, 57, 89, 54, 33, 62]"
21,21,the only way to stop these people  for now is at the ballot box  are you out there registering voters are you,4,"[47, 42, 67, 50]"
22,22,ignore the trump voters  they will never be convinced ever ignore the media if they dont get it we dont n,1,[67]
23,23,if youre not sure what to do go to   and find a chapter in your area  they will give you work to,26,"[20, 17, 42, 46, 72, 19, 12, 40, 1, 18, 86, 57, 74, 32, 87, 64, 67, 60, 45, 91, 30, 22, 31, 26, 89, 15]"
24,24,foreign governments are not the only ones looking closely at  public filings as   and,30,"[85, 52, 86, 9, 23, 48, 91, 2, 41, 55, 57, 8, 22, 62, 17, 5, 81, 99, 90, 11, 39, 43, 74, 88, 92, 40, 95, 70, 34, 61]"
25,25,foreign governments are not the only ones looking closely at  public filings as   and,7,"[76, 88, 43, 79, 21, 6, 58]"
26,26,join me on a brief tourwe start in ca where folks need to look here,7,"[82, 33, 38, 28, 96, 19, 53]"
27,27,punch in  into fein field and then take a close look at rrf for  and first delnquency letterdue,10,"[86, 64, 90, 51, 36, 75, 9, 34, 45, 3]"
28,28,then punch in  and note that parent entity has an incomplete report for  that was rejected,2,"[54, 15]"
29,29,please note that  was ag and that  is california agso for how long has that state be,8,"[34, 35, 26, 73, 37, 45, 40, 16]"
30,30,now we fly over to ny where there is a similar site punch both feins using dashes after first  numbers here,23,"[95, 71, 14, 3, 94, 85, 28, 7, 2, 36, 55, 13, 86, 64, 23, 100, 18, 87, 50, 99, 48, 17, 1]"
31,31,ny laws also require specifics concerning all government grantswhy are there still no amended disclosures from,5,"[98, 61, 59, 81, 51]"
32,32,then look carefully  amended bylaws filed almost four years late on  june  in nyclinton family illegall,19,"[41, 58, 89, 51, 96, 4, 93, 66, 15, 61, 94, 7, 5, 81, 79, 92, 20, 53, 22]"
33,33,on  we have provided a link to the  november  agreement with national archives where,14,"[90, 46, 4, 30, 12, 17, 96, 22, 84, 48, 50, 97, 61, 68]"
34,34,folks sunlight is truly the greatest disinfectant of them all i admit that i was one of the skeptics that was,3,"[83, 19, 99]"
35,35,folks sunlight is truly the greatest disinfectant of them all i admit that i was one of the skeptics that was,3,"[53, 87, 7]"
36,36,like a formula  race car every single image imaginable of what will be their life going forward was playing it,29,"[57, 3, 80, 53, 68, 77, 75, 37, 40, 74, 1, 12, 30, 70, 48, 84, 15, 76, 9, 63, 43, 33, 21, 52, 49, 17, 44, 46, 31]"
37,37,after reading the post below i feel that my dream may actually become a reality there were plenty of guilty me,25,"[30, 3, 98, 41, 90, 22, 32, 19, 89, 63, 94, 25, 44, 55, 68, 47, 5, 62, 17, 58, 80, 97, 23, 96, 72]"
38,38,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl,14,"[79, 2, 7, 23, 66, 85, 71, 60, 16, 33, 78, 3, 75, 99]"
39,39,country with our president he absolutely lit up as he spoke about candidate and now president donald j trump,15,"[93, 40, 84, 99, 75, 66, 50, 24, 58, 36, 60, 95, 80, 34, 82]"
40,40,that gun on their nightstand began to get louder and louder some may have actually picked it up only to put it,19,"[9, 96, 49, 38, 24, 94, 63, 5, 48, 42, 4, 25, 10, 69, 57, 87, 53, 79, 91]"
41,41,thread kenneys take on safe injection sites is horribly misguided even in a vacuum as  points out but,30,"[23, 3, 56, 84, 57, 20, 37, 77, 89, 10, 93, 90, 71, 81, 98, 38, 69, 30, 19, 99, 78, 47, 12, 63, 21, 9, 15, 25, 32, 61]"
42,42,thread kenneys take on safe injection sites is horribly misguided even in a vacuum as  points out but,30,"[22, 1, 61, 25, 59, 51, 14, 2, 72, 75, 85, 13, 97, 54, 69, 56, 67, 80, 46, 66, 34, 58, 29, 47, 3, 55, 50, 82, 32, 38]"
43,43,kenney is suggesting that he knows better than people who have dedicated their lives and careers to this field the,20,"[92, 22, 65, 64, 67, 76, 98, 53, 33, 46, 12, 30, 72, 78, 84, 11, 26, 54, 5, 51]"
44,44,whether it be healthcare education infrastructure the environment or harm reduction strategies for the opioid c,5,"[46, 53, 19, 100, 59]"
45,45,im of the belief that the most successful politicians are the ones who will listen to the experts in whatever the,1,[62]
46,46,we see the same thing in the dealings with leach et al on environmental policy and the economics behind i,15,"[80, 75, 76, 85, 28, 54, 73, 45, 55, 52, 14, 96, 30, 42, 37]"
47,47,i dont know when or why we decided that shunning evidencebased policy was the best way forward but its not a go,27,"[2, 31, 53, 64, 54, 100, 62, 4, 92, 71, 29, 60, 22, 96, 6, 21, 17, 78, 74, 83, 42, 56, 73, 38, 20, 79, 51]"
48,48,anons already know that trump is not a bad speller and there are no coincidencessoshould we be looking into,1,[83]
49,49,anons already know that trump is not a bad speller and there are no coincidencessoshould we be looking into,5,"[65, 78, 51, 67, 79]"
50,50,foundations with misspellings of chidlren  not saying alibaba florida hospital foundation or moyer foundation,22,"[58, 19, 56, 66, 22, 13, 85, 96, 68, 43, 95, 65, 47, 92, 82, 24, 33, 26, 36, 59, 93, 69]"
51,51,as toby pointed out heres an interesting time that  misspelled ny ag schneiderman now,14,"[61, 49, 52, 43, 71, 13, 82, 75, 7, 5, 16, 56, 4, 64]"
52,52,thanks to  for this more on alibaba  the worlds th largest online retailer and locates in china,26,"[37, 71, 33, 59, 94, 73, 3, 12, 64, 77, 85, 14, 34, 42, 11, 98, 27, 6, 63, 17, 91, 75, 40, 72, 48, 45]"
53,53,part  qanon takes on conservative censorship and youtubepurgefyi ch mods seem to have removed the antiq,14,"[93, 4, 61, 27, 67, 14, 80, 76, 40, 29, 37, 69, 28, 73]"
54,54,part  qanon takes on conservative censorship and youtubepurgefyi ch mods seem to have removed the antiq,6,"[65, 33, 22, 67, 76, 13]"
55,55,part  qanon continues on the youtubepurge theme suggests those who didnt violate terms of service organize an,13,"[65, 54, 12, 77, 63, 3, 7, 87, 16, 50, 21, 24, 27]"
56,56,part  qanon points to the suicide that took place in front of the white house as a real life consequence of msm,27,"[28, 42, 44, 19, 76, 14, 100, 85, 58, 16, 77, 98, 96, 82, 52, 39, 89, 22, 72, 92, 68, 32, 40, 12, 31, 83, 94]"
57,57,part  qanon brings up a lot of happenings that might be important for the coming week including the next inspec,20,"[78, 44, 21, 37, 28, 2, 94, 41, 53, 40, 95, 39, 65, 35, 29, 97, 91, 71, 15, 14]"
58,58,part  qanon posts link to the summary of what trumps mission is and what the american patriots are up against,12,"[51, 6, 26, 12, 95, 57, 4, 25, 79, 55, 48, 13]"
59,59,here are some real ideas to fix the immigration system get rid of the  and  year bars and replace with a f,2,"[83, 78]"
60,60,here are some real ideas to fix the immigration system get rid of the  and  year bars and replace with a f,8,"[50, 70, 48, 85, 81, 12, 65, 27]"
61,61,create a path to a green card for e investors include any children brought here before age  lets reall,2,"[7, 49]"
62,62,put money and resources into fraud detection expand guest worker programs to allow people to go back and fo,28,"[2, 54, 100, 70, 19, 53, 31, 67, 12, 96, 36, 48, 51, 25, 28, 92, 63, 93, 97, 17, 41, 1, 10, 74, 49, 77, 42, 14]"
63,63,expand esl instruction create state offices of new americans make real use of s visas to take down ca,3,"[95, 93, 50]"
64,64,survey world immigration laws and sample the best to create a model immigration code give federal judges p,26,"[18, 85, 100, 31, 7, 84, 65, 56, 62, 68, 77, 78, 2, 4, 89, 96, 38, 6, 12, 23, 99, 9, 55, 46, 81, 16]"
65,65,vote out elected officials with close ties to nativist white nationalist or fearmongering groups such as fair,9,"[70, 37, 95, 97, 80, 1, 61, 75, 23]"
66,66,so much can be done yet were stuck between a border wall and daca and gutting protections for  of the current,9,"[98, 54, 81, 36, 8, 74, 27, 21, 65]"
67,67,part  march ish an excited qanon breaks down two major fronts snowden and northkorea first touches on a,30,"[98, 58, 90, 31, 62, 92, 24, 60, 42, 37, 100, 32, 69, 61, 96, 71, 26, 91, 40, 29, 52, 19, 2, 15, 77, 9, 10, 75, 22, 50]"
68,68,part  march ish an excited qanon breaks down two major fronts snowden and northkorea first touches on a,10,"[45, 94, 52, 61, 24, 72, 88, 1, 79, 8]"
69,69,part  qanon follows up on trumps pit stop in hawaii after his most recent asia tour q implies this was to,12,"[72, 50, 24, 9, 10, 59, 96, 21, 68, 61, 38, 51]"
70,70,part  qanon continues to taunt snowdensays can get him at any time and seems to suggest he is in the forbi,16,"[72, 100, 48, 34, 40, 4, 10, 43, 28, 30, 64, 68, 55, 97, 88, 16]"
71,71,part  qanons huge boom north korea folded to trump cia strings controlling nk behind the scenes are allegedl,9,"[24, 67, 34, 29, 51, 4, 8, 45, 40]"
72,72,part  qanons nd wave of posts march  continued thread belowq brings up obamasays when they are throug,8,"[37, 99, 67, 19, 76, 68, 54, 40]"
73,73,part  qanon continues on the snowden theme whats the angle here q implies the snowden family all government,17,"[63, 97, 62, 59, 46, 91, 28, 8, 29, 18, 71, 69, 85, 66, 3, 15, 14]"
74,74,part  qanon links twitter ceo jack dorsey snowden and figures like lynn de rothschild and hillary clinton to,16,"[57, 49, 25, 66, 7, 67, 82, 41, 14, 65, 27, 17, 28, 62, 46, 91]"
75,75,part  the rd phase of qanon posts march first follows up on pending obama criminal charges and the coinci,24,"[87, 56, 13, 17, 86, 4, 8, 63, 97, 28, 80, 45, 35, 33, 7, 81, 78, 21, 6, 65, 66, 26, 12, 88]"
76,76,part  qanon returns to topic of snowden operation snowdenq gives snowden  hours to respond and he did,8,"[39, 20, 85, 5, 81, 56, 53, 87]"
77,77,reality check pruitt has spent  million on security and travel in just over a year his security detail is three,2,"[60, 98]"
78,78,reality check pruitt has spent  million on security and travel in just over a year his security detail is three,12,"[82, 87, 55, 18, 2, 25, 64, 50, 21, 28, 38, 60]"
79,79,reality check heres where you could stay in dc for the rent pruitt was paying his fossil fuel lobbyist landlord,20,"[28, 46, 31, 92, 17, 72, 22, 33, 57, 78, 44, 42, 16, 83, 50, 70, 97, 82, 32, 13]"
80,80,reality check while pruitt is a dangerous threat to the health of our families his sloppy and careless legal work,12,"[94, 18, 92, 91, 43, 60, 74, 23, 99, 4, 70, 21]"
81,81,reality check trump is defending a guy who regularly defies himbootpruitt,23,"[52, 62, 8, 96, 68, 86, 60, 85, 28, 18, 59, 51, 3, 69, 94, 44, 31, 33, 7, 90, 11, 17, 73]"
82,82,over and over again bootpruitt,20,"[49, 11, 90, 33, 54, 43, 75, 8, 12, 16, 53, 91, 40, 63, 9, 4, 29, 88, 100, 65]"
